collegeName,country,dateOfBirthUTC,firstName,heightFeet,heightInches,heightMeters,isActive,jersey,lastAffiliation,lastName,nbaDebutYear,personId,pos,teamId,temporaryDisplayName,weightKilograms,weightPounds,yearsPro
Iowa State,USA,1995-06-27,Monte,6,3,1.9,1,11,Iowa State/USA,Morris,2017,1628420,G,1610612743,"Morris, Monte",79.4,175,2
Baylor,USA,1995-05-04,Johnathan,6,10,2.08,1,15,Baylor/USA,Motley,2017,1628405,F,1610612746,"Motley, Johnathan",104.3,230,2
 ,Democratic Republic of the Congo,1996-03-05,Emmanuel,6,5,1.96,1,8,Guangdong/DRC,Mudiay,2015,1626144,G,1610612762,"Mudiay, Emmanuel",90.7,200,4
Washington,USA,1996-09-19,Dejounte,6,5,1.96,1,5,Washington/USA,Murray,2016,1627749,G,1610612759,"Murray, Dejounte",77.1,170,3
Kentucky,Canada,1997-02-23,Jamal,6,4,1.93,1,27,Kentucky/Canada,Murray,2016,1627750,G,1610612743,"Murray, Jamal",93.9,207,3
 ,Bosnia and Herzegovina,1999-05-08,Dzanan,6,9,2.06,1,30,Bosnia and Herzegovina/Bosnia and Herzegovina,Musa,2018,1629058,G-F,1610612751,"Musa, Dzanan",94.3,208,1
Bucknell,USA,1991-07-01,Mike,6,11,2.11,1,33,Bucknell/USA,Muscala,2013,203488,F-C,1610612760,"Muscala, Mike",108.9,240,6
University of Kansas,Ukraine,1997-06-10,Svi,6,8,2.03,1,19,University of Kansas/Ukraine,Mykhailiuk,2018,1629004,G,1610612765,"Mykhailiuk, Svi",93.0,205,1
Iowa State,Egypt,1993-09-25,Abdel,6,6,1.98,1,11,Egypt/Egypt,Nader,2017,1627846,F,1610612760,"Nader, Abdel",102.1,225,2
Wyoming,USA,1993-01-01,Larry,6,9,2.06,1,22,Wyoming/USA,Nance Jr.,2015,1626204,F,1610612739,"Nance Jr., Larry",104.3,230,4
Connecticut,USA,1991-07-14,Shabazz,6,1,1.85,1,,Connecticut/USA,Napier,2014,203894,G,1610612750,"Napier, Shabazz",81.6,180,5
 ,Brazil,1992-05-19,Raul,6,1,1.85,1,,Brazil/Brazil,Neto,2015,203526,G,1610612755,"Neto, Raul",81.2,179,4
Iowa State,USA,1993-06-17,Georges,6,8,2.03,1,31,Iowa State/USA,Niang,2016,1627777,F,1610612762,"Niang, Georges",104.3,230,3
Kentucky,USA,1994-04-10,Nerlens,6,11,2.11,1,9,Kentucky/USA,Noel,2014,203457,C-F,1610612760,"Noel, Nerlens",99.8,220,6
Gonzaga University,USA,1997-12-09,Zach,6,5,1.96,1,21,Gonzaga University/USA,Norvell Jr.,,1629668,G,1610612747,"Norvell Jr., Zach",93.4,206,0
University of Washington,USA,1999-07-09,Jaylen,6,4,1.93,1,, USA/USA,Nowell,,1629669,G,1610612750,"Nowell, Jaylen",91.6,202,0
 ,France,1998-07-28,Frank,6,6,1.98,1,11,France/France,Ntilikina,2017,1628373,G,1610612752,"Ntilikina, Frank",90.7,200,2
Oakland University,USA,1995-08-03,Kendrick,6,3,1.9,1,25,Oakland University (MI)/USA,Nunn,,1629134,G,1610612748,"Nunn, Kendrick",88.5,195,0
 ,Bosnia and Herzegovina,1994-08-23,Jusuf,7,0,2.13,1,27,Boznia & Herzegovina/Bosnia and Herzegovina,Nurkic,2014,203994,C,1610612757,"Nurkic, Jusuf",124.7,275,5
Cal Poly-Obispo,USA,1993-01-14,David,6,4,1.93,1,,Cal Poly-Obispo/USA,Nwaba,2016,1628021,G,1610612751,"Nwaba, David",99.3,219,3
Baylor,USA,1993-06-05,Royce,6,6,1.98,1,23,Baylor/USA,O'Neale,2017,1626220,F,1610612762,"O'Neale, Royce",102.5,226,2
